,budget,company,country,director,genre,gross,name,rating,released,runtime,score,star,votes,writer,year
6723,29000000,Qwerty Films,UK,Stephen Frears,Biography,27370107,Florence Foster Jenkins,PG-13,12-08-2016,111.0,6.9,Meryl Streep,35671.0,Nicholas Martin,2016.0
6724,18000000,Warner Bros.,USA,Jeff Nichols,Drama,3707794,Midnight Special,PG-13,21-04-2016,112.0,6.7,Michael Shannon,58549.0,Jeff Nichols,2016.0
6725,0,K5 International,USA,Jim Jarmusch,Comedy,2141423,Paterson,R,27-07-2017,118.0,7.4,Adam Driver,36369.0,Jim Jarmusch,2016.0
6726,10000000,Universal Pictures,USA,James DeMonaco,Action,79003080,The Purge: Election Year,R,01-07-2016,108.0,6.0,Frank Grillo,60239.0,James DeMonaco,2016.0
6727,0,Cosmo Films,Ireland,John Carney,Comedy,3233839,Sing street; este es tu momento,PG-13,23-09-2016,106.0,8.0,Ferdia Walsh-Peelo,58989.0,Simon Carmody,2016.0
6728,35000000,Big Talk Productions,UK,Louis Leterrier,Action,6864016,The Brothers Grimsby,R,11-03-2016,83.0,6.2,Sacha Baron Cohen,67444.0,Sacha Baron Cohen,2016.0
6729,0,Piki Films,New Zealand,Taika Waititi,Adventure,5202582,Hunt for the Wilderpeople,PG-13,31-03-2016,101.0,7.9,Sam Neill,60530.0,Taika Waititi,2016.0
6730,105000000,Blue Sky Studios,USA,Mike Thurmeier,Animation,64063008,Ice Age: Collision Course,PG,22-07-2016,94.0,5.7,Ray Romano,38556.0,Michael J. Wilson,2016.0
6731,0,Komplizen Film,Germany,Maren Ade,Comedy,1478960,Toni Erdmann,R,25-12-2016,162.0,7.5,Sandra Hüller,29072.0,Maren Ade,2016.0
6732,50000000,Panorama Films,USA,Ben Stiller,Comedy,28848693,Zoolander 2,PG-13,12-02-2016,101.0,4.7,Ben Stiller,51053.0,Justin Theroux,2016.0
6733,0,Parts and Labor,UK,Andrea Arnold,Adventure,662786,American Honey,R,25-11-2016,163.0,7.0,Sasha Lane,23250.0,Andrea Arnold,2016.0
6734,10000000,Annapurna Pictures,USA,Richard Linklater,Comedy,3369431,Everybody Wants Some!!,R,07-04-2016,117.0,7.0,Blake Jenner,39909.0,Richard Linklater,2016.0
6735,40000000,Chartoff-Winkler Productions,France,Dennis Gansel,Action,21203260,El especialista: La resurrección,R,26-08-2016,98.0,5.6,Jason Statham,53849.0,Lewis John Carlino,2016.0
6736,125000000,Disruption Entertainment,USA,Chris Wedge,Action,33370166,Monster Trucks,PG,13-01-2017,104.0,5.7,Lucas Till,9244.0,Derek Connolly,2016.0
6737,0,Campbell Grobman Films,USA,Philippe Falardeau,Biography,320725,Chuck,R,05-05-2017,98.0,6.5,Elisabeth Moss,1896.0,Jeff Feuerzeig,2016.0
6738,45000000,Amblin Partners,USA,Josh Gordon,Comedy,54730514,Office Christmas Party,R,09-12-2016,105.0,5.8,Jason Bateman,37358.0,Justin Malen,2016.0
